sentence,label
released version 39 of its open‑source machine learning framework.,innovation
allocated 39.1% of its R&D budget to green technologies.,csr
published its first diversity and inclusion report highlighting a 6.1% increase in leadership roles held by women.,csr
opened 7 new data centers across North America and Europe.,market
committed to reaching net‑zero carbon emissions by 2035.,csr
rolled out a subscription service providing real‑time cybersecurity insights.,product
surpassed analyst expectations by 47.2% in adjusted earnings per share.,financial
allocated 7.2% of its R&D budget to green technologies.,csr
partnered with leading automakers to integrate its autonomous driving stack.,product
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
surpassed analyst expectations by 19.5% in adjusted earnings per share.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
committed to reaching net‑zero carbon emissions by 2028.,csr
committed to reaching net‑zero carbon emissions by 2032.,csr
committed to reaching net‑zero carbon emissions by 2033.,csr
rolled out a subscription service providing real‑time cybersecurity insights.,product
committed to reaching net‑zero carbon emissions by 2025.,csr
released version 32 of its open‑source machine learning framework.,innovation
surpassed analyst expectations by 9.9% in adjusted earnings per share.,financial
announced an operating margin of 20.4% for the fiscal year.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
published its first diversity and inclusion report highlighting a 48.1% increase in leadership roles held by women.,csr
updated its cloud platform with serverless GPU instances.,product
expanded its community outreach program to include 9 underserved regions.,csr
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
announced an operating margin of 30.8% for the fiscal year.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
updated its cloud platform with serverless GPU instances.,product
surpassed analyst expectations by 14.5% in adjusted earnings per share.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
reported a quarterly revenue increase of 43.2% compared to last year.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
surpassed analyst expectations by 49.6% in adjusted earnings per share.,financial
expanded its community outreach program to include 7 underserved regions.,csr
released version 35 of its open‑source machine learning framework.,innovation
opened 37 new data centers across North America and Europe.,market
announced an operating margin of 15.2% for the fiscal year.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
released version 9 of its open‑source machine learning framework.,innovation
announced an operating margin of 10.1% for the fiscal year.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
updated its cloud platform with serverless GPU instances.,product
achieved a 44.3% market share in the global edge‑computing segment.,market
announced an operating margin of 42.4% for the fiscal year.,financial
committed to reaching net‑zero carbon emissions by 2030.,csr
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
filed 45 new patents focusing on quantum computing architectures.,innovation
launched a breakthrough AI accelerator chip called 'Nebula‑40'.,innovation
surpassed analyst expectations by 18.8% in adjusted earnings per share.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
opened 3 new data centers across North America and Europe.,market
reaffirmed its full‑year guidance despite currency headwinds.,financial
partnered with leading automakers to integrate its autonomous driving stack.,product
published its first diversity and inclusion report highlighting a 32.1% increase in leadership roles held by women.,csr
updated its cloud platform with serverless GPU instances.,product
surpassed analyst expectations by 31.0% in adjusted earnings per share.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
allocated 46.7% of its R&D budget to green technologies.,csr
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
rolled out a subscription service providing real‑time cybersecurity insights.,product
expanded its community outreach program to include 38 underserved regions.,csr
surpassed analyst expectations by 16.3% in adjusted earnings per share.,financial
committed to reaching net‑zero carbon emissions by 2030.,csr
reaffirmed its full‑year guidance despite currency headwinds.,financial
surpassed analyst expectations by 10.8% in adjusted earnings per share.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
published its first diversity and inclusion report highlighting a 28.3% increase in leadership roles held by women.,csr
secured a multi‑year contract with the European Space Agency.,market
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
secured a multi‑year contract with the European Space Agency.,market
updated its cloud platform with serverless GPU instances.,product
published its first diversity and inclusion report highlighting a 38.8% increase in leadership roles held by women.,csr
reported a quarterly revenue increase of 28.0% compared to last year.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
opened a new research hub dedicated to neuromorphic engineering.,innovation
expanded its community outreach program to include 25 underserved regions.,csr
launched a breakthrough AI accelerator chip called 'Nebula‑22'.,innovation
rolled out a subscription service providing real‑time cybersecurity insights.,product
reported a quarterly revenue increase of 7.8% compared to last year.,financial
introduced its flagship smartphone 'Aurora' featuring a 20‑core neural engine.,product
rolled out a subscription service providing real‑time cybersecurity insights.,product
